7zip 26.01-1.1
pacman-contrib 1.13.1-1.2
paru-git 2.1.0.r67.g9ac3578-1
pcmanfm 1.4.0-2.1
perl 5.42.2-1.1
pipewire-alsa 1:1.6.7-1.1
pipewire-pulse 1:1.6.7-1.1
pkgfile 25-2.1
plocate 1.1.24-1.1
plymouth 26.134.222-2.1
poppler-glib 26.06.0-1.1
powertop 2.15-2.1
prettyping 1:1.1.0-1
procs 0.14.12-1.1
profile-sync-daemon 1:7.03-1
pv 1.10.5-1.1
python 3.14.6-2
python-defusedxml 0.7.1-8
python-packaging 26.2-1
python-pipx 1.15.0-1
python-pypresence 4.6.1-3
python-pyqt5 5.15.11-7
python-reportlab 4.4.10-2
qemu-desktop 11.0.1-1
qt6-graphs 6.11.1-1.1
rebuild-detector 4.4.5-1
reflector 2023-5
resvg 0.47.0-4.1
ripgrep 15.1.0-2
rsync 3.4.4-1.1
rtkit 0.14-1.1
s-nail 14.9.25-1.1
samba 2:4.24.3-1.1
sg3_utils 1.48-1.2
slurp 1.5.0-2.1
smartmontools 7.5-1.1
snapper 0.13.1-2.1
sof-firmware 2025.12.2-1
splix 2.0.1-2.1
starship 1.25.1-1
sudo 1.9.17.p2-6.1
supabase-bin 2.108.0-1
swayidle 1.9.0-1.1
swaylock-effects 1.8.1-1
sysfsutils 2.1.1-2.2
system-config-printer 1.5.18-6
systemd-manager-tui-bin 1.2.4-1
tailscale 1.98.4-1.1
tealdeer 1.8.1-2.1
tectonic 0.16.9-1.1
tela-circle-icon-theme-black 2025_02_10-1
texinfo 7.3-1.1
tlp 1.10.1-1
tlp-pd 1.10.1-1
tmux 3.6_b-2.1
trash-cli 0.24.5.26-3
tree-sitter-cli 0.26.9-1.1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-fantasque-nerd 3.4.0-2
ttf-fantasque-sans-mono 1.8.0-3
ttf-liberation 2.1.5-2
ttf-ms-win11-auto 10.0.26100.1742-4
ttf-opensans 3.003-1
tumbler 4.20.1-1.1
tumbler-extra-thumbnailers 5.1-1
udiskie 2.6.2-1
ufw 0.36.2-7
unarchiver 1.10.8-6.1
unrar 1:7.2.6-1.1
unzip 6.0-23.1
upower 1.91.2-1.1
usb_modeswitch 2.6.2.20251207-1.1
usbutils 019-1.1
vesktop 1.6.5-1
vial-appimage 0.7.5-2
vim 9.2.0699-1.1
vpl-gpu-rt 26.1.5-1.1
vulkan-intel 3:26.1.2-1
waterfox-bin 1:6.6.15-1
wayfreeze-git r81.8f813ab-1
wayland-protocols 1.49-1
wbg 1.3.0-1
wdisplays 1.1.3-2.1
websocat 1.14.1-1
wget 1.25.0-5.1
which 2.25-1.1
wireless-regdb 2026.05.30-1
wiremix 0.11.0-1.1
wireplumber 0.5.15-1.1
wl-clip-persist 0.5.0-2.1
wl-clipboard 1:2.3.0-1.1
wlr-randr 0.5.0-1.1
wlrobs-hg r75.b8668b4d6d6d-2
xarchiver 0.5.4.26-1.1
xdg-desktop-portal-termfilechooser-hunkyburrito-git v1.4.3.r0.gcb8cec0-2
xdg-desktop-portal-wlr 0.8.2-1.1
xdg-user-dirs 0.20-1.1
xf86-input-libinput 1.5.0-1.2
xfsprogs 7.0.1-1.1
xl2tpd 1.3.20-1.1
xorg-server 21.1.23-1.1
xorg-xdpyinfo 1.4.0-1.1
xorg-xinit 1.4.4-1.1
xorg-xinput 1.6.4-2.1
xorg-xkill 1.0.7-1.1
xorg-xrandr 1.5.4-1.1
xpadneo-dkms 0.10.2-1
xsettingsd 1.0.2-3.1
xwayland-satellite 0.8.1-2
yazi 26.5.6-4.1
zathura 2026.05.20-1.1
zathura-pdf-poppler 2026.05.10-3.1
zip 3.0-13.1
zoxide 0.9.9-2.1
zsh 5.9.1-1.1
